AGE,immig_cohort,weighted_count,count,weighted_mean
33,1940s,24260,917,3.7625721352019785
34,1940s,23660,843,3.949281487743026
35,1940s,23220,845,4.042204995693368
36,1940s,20300,715,4.2620689655172415
37,1940s,19720,698,4.347870182555781
38,1940s,20020,641,4.368631368631369
39,1940s,23960,722,4.184474123539232
40,1940s,29200,776,4.236301369863014
41,1940s,41567,1432,3.9909303052902545
42,1940s,53670,1761,3.987106390907397
43,1940s,58723,1897,3.9358343408885785
44,1940s,61252,2042,3.766930059426631
45,1940s,58131,1902,3.825273950215892
46,1940s,57476,1785,3.766563435172942
47,1940s,57834,1843,3.7017671266037278
48,1940s,50994,1733,3.5598109581519393
49,1940s,52290,1930,3.529393765538344
50,1940s,61202,2276,3.2712166269076173
51,1940s,64824,2741,3.269606935702826
52,1940s,78074,3368,3.0832415400773625
53,1940s,84504,3757,2.988320079522863
54,1940s,95337,4243,2.8344714014495946
55,1940s,98930,4441,2.7998079450116244
56,1940s,101839,4617,2.8078928504796785
57,1940s,107835,4887,2.731181898270506
58,1940s,111497,5173,2.6114603980376154
59,1940s,119933,5724,2.57677203105067
60,1940s,126119,5943,2.494723237577209
61,1940s,115623,5557,2.4299836537713086
62,1940s,122219,5859,2.455027450723701
63,1940s,131601,6326,2.372922698155789
64,1940s,144786,7048,2.3325045239180584
65,1940s,161649,8008,2.290604952706172
66,1940s,169651,8331,2.239833540621629
67,1940s,189275,9268,2.2088654074758947
68,1940s,192520,9482,2.1683357573239146
69,1940s,206353,10194,2.162711470150664
70,1940s,209900,10368,2.173963792282039
71,1940s,196119,9781,2.1231344234877803
72,1940s,201642,10036,2.1384780948413527
73,1940s,200280,9983,2.0869732374675456
74,1940s,225467,10859,2.0441528028491973
75,1940s,239674,11485,2.0530804342565316
76,1940s,234888,11285,2.0361491434215457
77,1940s,233676,11124,2.001985655351855
78,1940s,217055,10452,2.006256478772661
79,1940s,220308,10692,2.024597381847232
80,1940s,212204,10207,2.0015786695821003
81,1940s,182368,8892,1.9955310142130198
82,1940s,178213,8651,1.9759052369916896
83,1940s,167208,8197,2.010202861107124
84,1940s,156457,7695,2.0156848207494713
85,1940s,143929,7093,2.007309159377193
86,1940s,126511,6189,2.001525559042297
87,1940s,106432,5261,1.9912244437763078
88,1940s,90509,4324,2.0536300257432965
89,1940s,78684,3757,2.059999491637436
90,1940s,207630,10175,2.1618311419351732
91,1940s,5160,190,1.9290697674418604
92,1940s,8073,373,2.238573021181717
93,1940s,25585,1256,2.0762165331248776
94,1940s,38700,1329,2.036847545219638
95,1940s,16030,523,1.7618215845290082
10,1950s,8100,81,5.3580246913580245
11,1950s,23000,230,5.391304347826087
12,1950s,34100,341,5.410557184750733
13,1950s,39400,394,5.449238578680203
14,1950s,41700,417,5.364508393285372
15,1950s,38100,381,5.278215223097113
16,1950s,40900,409,5.0733496332518335
17,1950s,40200,402,5.067164179104478
18,1950s,33500,335,4.8
19,1950s,33600,336,4.5773809523809526
20,1950s,44060,795,4.06536541080345
21,1950s,49940,1173,3.8113736483780536
22,1950s,54020,1393,3.3872639763050723
23,1950s,57120,1648,3.379201680672269
24,1950s,56260,1809,3.2683967294703162
25,1950s,57600,1888,3.292708333333333
26,1950s,56780,1907,3.3399084184572034
27,1950s,57840,1912,3.412171507607192
28,1950s,60640,2008,3.4310686015831133
29,1950s,68580,2249,3.558180227471566
30,1950s,69520,2144,3.7364787111622553
31,1950s,98414,3368,3.7382079785396387
32,1950s,113424,4044,3.7641151784454787
33,1950s,128086,4487,3.847992754867823
34,1950s,126511,4178,3.957837658385437
35,1950s,124498,4236,3.9894857748718855
36,1950s,126273,4221,4.070117919111766
37,1950s,129764,4259,4.156830862180574
38,1950s,122352,3974,4.09922191709167
39,1950s,138366,4762,4.03852102395097
40,1950s,155135,5267,3.990743545943855
41,1950s,146424,5313,4.03717969731738
42,1950s,169156,6244,3.9235025656790183
43,1950s,168301,6521,3.811795533003369
44,1950s,172963,6653,3.8364852598532635
45,1950s,176095,6960,3.7250972486441976
46,1950s,170766,6739,3.673219493341766
47,1950s,169256,6624,3.5943068487970886
48,1950s,167303,6746,3.553642194102915
49,1950s,184960,7649,3.417128027681661
50,1950s,198451,8491,3.3048561105764143
51,1950s,184589,8238,3.193126350974327
52,1950s,202671,9134,3.0950456651420284
53,1950s,203526,9323,3.033209516228885
54,1950s,205427,9361,2.931975835698326
55,1950s,208080,9578,2.874778931180315
56,1950s,199873,9137,2.8095290509473516
57,1950s,198661,9193,2.7651929669134856
