AGE,birth_decade,weighted_count,count,weighted_mean
25,1990s,7426579,176412,3.074589659653523
26,1990s,7395658,177976,3.032028522681822
27,1990s,7426487,180977,3.012690118490748
28,1990s,7490991,183974,3.035799268748287
29,1990s,7446896,184546,3.050402073561924
30,1990s,7651589,192317,3.1053144647471265
31,1990s,7354519,186076,3.1449882718366764
32,1990s,7386591,186800,3.2312735333525304
33,1990s,3808890,34291,3.248337442141936
0,2000s,3717065,186906,4.4283037826887615
3,2000s,4018088,177257,4.5341406161338424
4,2000s,4037963,178783,4.590177275027037
5,2000s,3956510,180140,4.633723913246776
6,2000s,3885987,178404,4.636935738590994
7,2000s,3909462,180147,4.668148712022268
8,2000s,3912183,181614,4.675165502227273
9,2000s,3886317,181675,4.664823533437957
10,2000s,3916066,184248,4.640820149609327
11,2000s,3864768,183066,4.602674727176379
12,2000s,3895587,185252,4.57178006806163
13,2000s,4107985,175947,4.60577655468557
14,2000s,8236623,212620,4.543011134538998
15,2000s,8152442,212480,4.472858561888573
16,2000s,8068705,210533,4.3915668003725505
17,2000s,7912192,208365,4.313377253737017
18,2000s,6862891,171712,4.234264976669453
19,2000s,6085559,151065,4.066905932552786
20,2000s,6874166,154902,3.8342783691868947
21,2000s,7146586,159540,3.662404398407855
22,2000s,7349599,165636,3.450156396287743
23,2000s,3772111,30472,3.2456892175230263
0,2010s,10589083,330816,4.410101327943128
1,2010s,11072362,342414,4.4176561423840734
2,2010s,11246525,352052,4.495802214461801
3,2010s,7492087,182239,4.605669288143611
4,2010s,7540315,184703,4.635417751115172
5,2010s,7348481,188358,4.678082313882284
6,2010s,7457445,190819,4.684934049128086
7,2010s,7583803,193820,4.702884423553724
8,2010s,7676752,195206,4.708698939343098
9,2010s,7737349,198069,4.699390579383197
10,2010s,7889579,202770,4.693384019603581
11,2010s,7888348,204708,4.66901092598856
12,2010s,8011913,208252,4.6431551366071995
13,2010s,4014838,35955,4.601239203175819
51,Before 1920,2116600,21166,3.187612208258528
52,Before 1920,2053800,20538,3.1074593436556626
53,Before 1920,1971300,19713,2.983614873433775
54,Before 1920,2008500,20085,2.8695543938262387
55,Before 1920,1957500,19575,2.809859514687101
56,Before 1920,1891000,18910,2.727340031729244
57,Before 1920,1824700,18247,2.6456403792404233
58,Before 1920,1758800,17588,2.561576074596316
59,Before 1920,1748100,17481,2.521251644642755
60,Before 1920,1694400,16944,2.4584513692162417
61,Before 1920,3526340,112881,2.369306419687268
62,Before 1920,3436320,109636,2.329858686036225
63,Before 1920,3252960,105160,2.2783680094437067
64,Before 1920,3195440,103324,2.23690634153669
65,Before 1920,3063580,100063,2.216550571553542
66,Before 1920,2916100,95489,2.177257295703165
67,Before 1920,2813180,91627,2.150534270825187
68,Before 1920,2590460,86551,2.1248890158504667
69,Before 1920,2575080,83246,2.114272177951753
70,Before 1920,2383060,76989,2.092108465586263
71,Before 1920,3704443,152184,2.0336296171921124
72,Before 1920,3577309,148360,2.0216816607120043
73,Before 1920,3304496,136565,1.9875151914240476
74,Before 1920,3135233,129646,1.985747789717702
